GPU Name,Change (%),DirectX Version
NVIDIA GeForce GTX 1060,+0.96%,12
NVIDIA GeForce GTX 1050 Ti,+0.02%,12
NVIDIA GeForce GTX 1050,+0.20%,12
NVIDIA GeForce GTX 1070,-0.21%,12
NVIDIA GeForce GTX 960,-0.14%,12
NVIDIA GeForce GTX 970,-0.28%,12
NVIDIA GeForce GTX 750 Ti,-0.09%,12
NVIDIA GeForce GTX 1080,-0.11%,12
NVIDIA GeForce GTX 960M,-0.16%,12
NVIDIA GeForce GTX 1080 Ti,0.00%,12
NVIDIA GeForce GTX 950,+0.17%,12
NVIDIA GeForce GT 730,+0.05%,12
NVIDIA GeForce GTX 1070 Ti,+0.09%,12
NVIDIA GeForce 940M,-0.04%,12
NVIDIA GeForce GTX 950M,-0.07%,12
AMD Radeon R7 Graphics,-0.10%,12
NVIDIA GeForce GTX 760,-0.08%,12
NVIDIA GeForce GTX 750,-0.01%,12
AMD Radeon R5 Graphics,+0.04%,12
NVIDIA GeForce GT 720M,+0.01%,12
Intel HD Graphics 620,+0.04%,12
Intel HD Graphics 520,+0.02%,12
NVIDIA GeForce GTX 660,-0.04%,12
AMD Radeon RX 580,+0.05%,12
AMD Radeon RX 480,-0.03%,12
NVIDIA GeForce GTX 650,-0.10%,12
Intel HD Graphics 5500,+0.02%,12
NVIDIA GeForce GTX 980,-0.05%,12
Intel HD Graphics 4600,+0.02%,12
Intel HD Graphics 6000,+0.01%,12
Intel HD Graphics 630,-0.03%,12
NVIDIA GeForce GTX 980 Ti,-0.03%,12
NVIDIA GeForce 920M,+0.02%,12
AMD Radeon HD 8470D,+0.01%,12
NVIDIA GeForce GT 630,+0.01%,12
AMD Radeon HD 7700 Series,0.00%,12
AMD Radeon HD 7900 Series,-0.05%,12
AMD Radeon HD 8800 Series,0.00%,12
NVIDIA GeForce GT 1030,0.00%,12
NVIDIA GeForce 840M,0.00%,12
NVIDIA GeForce GTX 770,-0.05%,12
NVIDIA GeForce GTX 970M,-0.03%,12
AMD Radeon RX 460,+0.03%,12
AMD Radeon R7 300 Series,+0.03%,12
AMD Radeon HD 7800 Series,-0.02%,12
NVIDIA GeForce MX150,0.00%,12
NVIDIA GeForce GTX 550 Ti,-0.02%,12
Intel HD Graphics 530,-0.01%,12
NVIDIA GeForce GTX 860M,-0.03%,12
Intel UHD Graphics 620,+0.04%,12
AMD Radeon R9 380 Series,+0.01%,12
NVIDIA GeForce GT 710,+0.03%,12
AMD Radeon HD 8500 Series,-0.04%,12
Intel Iris Graphics 6100,0.00%,12
Intel Iris Pro Graphics 5200,+0.02%,12
NVIDIA GeForce GT 740M,0.00%,12
NVIDIA GeForce 920MX,+0.01%,12
NVIDIA GeForce GTS 450,0.00%,12
AMD Radeon R9 200 Series,-0.02%,12
NVIDIA GeForce GTX 850M,-0.03%,12
NVIDIA GeForce 940MX,+0.30%,12
AMD Radeon R5 M330,+0.30%,12
Other,-0.33%,12
